,Age,County,Female,Male,Male_Inverse,Male_inverse,OBJECTID,shape
29,29,Bungoma,8217,7678,-7678.0,,29,81
30,30,Bungoma,10226,8587,-8587.0,,30,81
31,31,Bungoma,7424,6910,-6910.0,,31,81
32,32,Bungoma,8385,7472,-7472.0,,32,81
33,33,Bungoma,7002,6419,-6419.0,,33,81
34,34,Bungoma,6395,5712,-5712.0,,34,81
35,35,Bungoma,8663,8149,-8149.0,,35,81
36,36,Bungoma,5937,5561,-5561.0,,36,81
37,37,Bungoma,5894,5756,-5756.0,,37,81
38,38,Bungoma,5173,4626,-4626.0,,38,81
39,39,Bungoma,5022,4829,-4829.0,,39,81
40,40,Bungoma,6850,5893,-5893.0,,40,81
41,41,Bungoma,4402,4401,-4401.0,,41,81
42,42,Bungoma,4578,4069,-4069.0,,42,81
43,43,Bungoma,4305,3715,-3715.0,,43,81
44,44,Bungoma,3745,3353,-3353.0,,44,81
45,45,Bungoma,5533,4793,-4793.0,,45,81
46,46,Bungoma,4096,3764,-3764.0,,46,81
47,47,Bungoma,4411,3899,-3899.0,,47,81
48,48,Bungoma,3591,3215,-3215.0,,48,81
49,49,Bungoma,4317,4265,-4265.0,,49,81
50,50,Bungoma,4101,3771,-3771.0,,50,81
51,51,Bungoma,3428,3048,-3048.0,,51,81
52,52,Bungoma,3059,2812,-2812.0,,52,81
53,53,Bungoma,3256,2863,-2863.0,,53,81
54,54,Bungoma,2705,2537,-2537.0,,54,81
55,55,Bungoma,3455,2958,-2958.0,,55,81
56,56,Bungoma,2460,2126,-2126.0,,56,81
57,57,Bungoma,2885,2564,-2564.0,,57,81
58,58,Bungoma,1625,1461,-1461.0,,58,81
59,59,Bungoma,2228,2130,-2130.0,,59,81
60,60,Bungoma,2214,1965,-1965.0,,60,81
